state,year,population
Alabama,2013,4830081
Alaska,2013,737068
Arizona,2013,6632764
Arkansas,2013,2959400
California,2013,38260787
Colorado,2013,5269035
Connecticut,2013,3594841
Delaware,2013,923576
District of Columbia,2013,650581
Florida,2013,19545621
Georgia,2013,9972479
Hawaii,2013,1408243
Idaho,2013,1611206
Illinois,2013,12895129
Indiana,2013,6568713
Iowa,2013,3092997
Kansas,2013,2893212
Kentucky,2013,4404659
Louisiana,2013,4624527
Maine,2013,1328009
Maryland,2013,5923188
Massachusetts,2013,6713315
Michigan,2013,9913065
Minnesota,2013,5413479
Mississippi,2013,2988711
Missouri,2013,6040715
Montana,2013,1013569
Nebraska,2013,1865279
Nevada,2013,2775970
New Hampshire,2013,1326622
New Jersey,2013,8856972
New Mexico,2013,2092273
New York,2013,19624447
North Carolina,2013,9843336
North Dakota,2013,722036
Ohio,2013,11576684
Oklahoma,2013,3853214
Oregon,2013,3922468
Pennsylvania,2013,12776309
Rhode Island,2013,1055081
South Carolina,2013,4764080
South Dakota,2013,842316
Tennessee,2013,6494340
Texas,2013,26480266
Utah,2013,2897640
Vermont,2013,626210
Virginia,2013,8252427
Washington,2013,6963985
West Virginia,2013,1853914
Wisconsin,2013,5736754
Wyoming,2013,582122
Alabama,2014,4841799
Alaska,2014,736283
Arizona,2014,6730413
Arkansas,2014,2967392
California,2014,38596972
Colorado,2014,5350101
Connecticut,2014,3594524
Delaware,2014,932487
District of Columbia,2014,662328
Florida,2014,19845911
Georgia,2014,10067278
Hawaii,2014,1414538
Idaho,2014,1631112
Illinois,2014,12884493
Indiana,2014,6593644
Iowa,2014,3109350
Kansas,2014,2900475
Kentucky,2014,4414349
Louisiana,2014,4644013
Maine,2014,1330513
Maryland,2014,5957283
Massachusetts,2014,6762596
Michigan,2014,9929848
Minnesota,2014,5451079
Mississippi,2014,2990468
Missouri,2014,6056202
Montana,2014,1021869
Nebraska,2014,1879321
Nevada,2014,2817628
New Hampshire,2014,1333341
New Jersey,2014,8864525
New Mexico,2014,2089568
New York,2014,19651049
North Carolina,2014,9932887
North Dakota,2014,737401
Ohio,2014,11602700
Oklahoma,2014,3878187
Oregon,2014,3963244
Pennsylvania,2014,12788313
Rhode Island,2014,1055936
South Carolina,2014,4823617
South Dakota,2014,849129
Tennessee,2014,6541223
Texas,2014,26964333
Utah,2014,2936879
Vermont,2014,625214
Virginia,2014,8310993
Washington,2014,7054655
West Virginia,2014,1849489
Wisconsin,2014,5751525
Wyoming,2014,582531
Alabama,2015,4852347
Alaska,2015,737498
Arizona,2015,6829676
Arkansas,2015,2978048
California,2015,38918045
Colorado,2015,5450623
Connecticut,2015,3587122
Delaware,2015,941252
District of Columbia,2015,675400
Florida,2015,20209042
Georgia,2015,10178447
Hawaii,2015,1422052
Idaho,2015,1651059
Illinois,2015,12858913
Indiana,2015,6608422
Iowa,2015,3120960
Kansas,2015,2909011
Kentucky,2015,4425976
Louisiana,2015,4664628
Maine,2015,1328262
Maryland,2015,5985562
Massachusetts,2015,6794228
Michigan,2015,9931715
Minnesota,2015,5482032
Mississippi,2015,2988471
Missouri,2015,6071732
Montana,2015,1030475
Nebraska,2015,1891277
Nevada,2015,2866939
New Hampshire,2015,1336350
New Jersey,2015,8867949
New Mexico,2015,2089291
New York,2015,19654666
North Carolina,2015,10031646
North Dakota,2015,754066
Ohio,2015,11617527
Oklahoma,2015,3909500
Oregon,2015,4015792
Pennsylvania,2015,12784826
Rhode Island,2015,1056065
South Carolina,2015,4891938
South Dakota,2015,853988
Tennessee,2015,6591170
Texas,2015,27470056
Utah,2015,2981835
Vermont,2015,625216
Virginia,2015,8361808
Washington,2015,7163657
West Virginia,2015,1842050
Wisconsin,2015,5760940
Wyoming,2015,585613
Alabama,2016,4863525
Alaska,2016,741456
Arizona,2016,6941072
Arkansas,2016,2989918
California,2016,39167117
Colorado,2016,5539215
Connecticut,2016,3578141
Delaware,2016,948921
District of Columbia,2016,685815
Florida,2016,20613477
Georgia,2016,10301890
Hawaii,2016,1427559
Idaho,2016,1682380
Illinois,2016,12820527
Indiana,2016,6634304
Iowa,2016,3131371
Kansas,2016,2910844
Kentucky,2016,4438182
Louisiana,2016,4678135
Maine,2016,1331317
Maryland,2016,6003323
Massachusetts,2016,6823608
Michigan,2016,9950571
Minnesota,2016,5522744
Mississippi,2016,2987938
Missouri,2016,6087135
Montana,2016,1040859
Nebraska,2016,1905616
Nevada,2016,2917563
New Hampshire,2016,1342307
New Jersey,2016,8870827
New Mexico,2016,2091630
New York,2016,19633428
North Carolina,2016,10154788
North Dakota,2016,754434
Ohio,2016,11634370
Oklahoma,2016,3926331
Oregon,2016,4089976
Pennsylvania,2016,12782275
Rhode Island,2016,1056770
South Carolina,2016,4957968
South Dakota,2016,862996
Tennessee,2016,6646010
Texas,2016,27914410
Utah,2016,3041868
Vermont,2016,623657
Virginia,2016,8410106
Washington,2016,7294771
West Virginia,2016,1831023
Wisconsin,2016,5772628
Wyoming,2016,584215
Alabama,2017,4874486
Alaska,2017,739700
Arizona,2017,7044008
Arkansas,2017,3001345
California,2017,39358497
Colorado,2017,5611885
Connecticut,2017,3573297
Delaware,2017,956823
District of Columbia,2017,694906
Florida,2017,20963613
Georgia,2017,10410330
Hawaii,2017,1424393
Idaho,2017,1717715
Illinois,2017,12778828
Indiana,2017,6658078
Iowa,2017,3141550
Kansas,2017,2908718
Kentucky,2017,4452268
Louisiana,2017,4670560
Maine,2017,1334612
Maryland,2017,6023868
Massachusetts,2017,6859789
Michigan,2017,9973114
Minnesota,2017,5566230
Mississippi,2017,2988510
Missouri,2017,6106670
Montana,2017,1052482
Nebraska,2017,1915947
Nevada,2017,2969905
New Hampshire,2017,1348787
New Jersey,2017,8885525
New Mexico,2017,2091784
New York,2017,19589572
North Carolina,2017,10268233
North Dakota,2017,754942
Ohio,2017,11659650
Oklahoma,2017,3931316
Oregon,2017,4143625
Pennsylvania,2017,12787641
Rhode Island,2017,1055673
South Carolina,2017,5021268
South Dakota,2017,872868
Tennessee,2017,6708799
Texas,2017,28295273
Utah,2017,3101042
Vermont,2017,624344
Virginia,2017,8463587
Washington,2017,7423362
West Virginia,2017,1817004
Wisconsin,2017,5790186
Wyoming,2017,578931
Alabama,2018,4887681
Alaska,2018,735139
Arizona,2018,7158024
Arkansas,2018,3009733
California,2018,39461588
Colorado,2018,5691287
Connecticut,2018,3571520
Delaware,2018,965479
District of Columbia,2018,701547
Florida,2018,21244317
Georgia,2018,10511131
Hawaii,2018,1420593
Idaho,2018,1750536
Illinois,2018,12723071
Indiana,2018,6695497
Iowa,2018,3148618
Kansas,2018,2911359
Kentucky,2018,4461153
Louisiana,2018,4659690
Maine,2018,1339057
Maryland,2018,6035802
Massachusetts,2018,6882635
Michigan,2018,9984072
Minnesota,2018,5606249
Mississippi,2018,2981020
Missouri,2018,6121623
Montana,2018,1060665
Nebraska,2018,1925614
Nevada,2018,3027341
New Hampshire,2018,1353465
New Jersey,2018,8886025
New Mexico,2018,2092741
New York,2018,19530351
North Carolina,2018,10381615
North Dakota,2018,758080
Ohio,2018,11676341
Oklahoma,2018,3940235
Oregon,2018,4181886
Pennsylvania,2018,12800922
Rhode Island,2018,1058287
South Carolina,2018,5084156
South Dakota,2018,878698
Tennessee,2018,6771631
Texas,2018,28628666
Utah,2018,3153550
Vermont,2018,624358
Virginia,2018,8501286
Washington,2018,7523869
West Virginia,2018,1804291
Wisconsin,2018,5807406
Wyoming,2018,577601
